Stno,Chip,Database Id,Surname,First name,YB,S,Block,nc,Start,Finish,Time,Classifier,Club no.,Cl.name,City,Nat,Cl. no.,Short,Long,Num1,Num2,Num3,Text1,Text2,Text3,Adr. name,Street,Line2,Zip,City,Phone,Fax,EMail,Id/Club,Rented,Start fee,Paid,Course no.,Course,km,m,Course controls,Pl,Start punch,Finish punch,Control1,Punch1,Control2,Punch2,Control3,Punch3,Control4,Punch4,Control5,Punch5,Control6,Punch6,Control7,Punch7,Control8,Punch8,Control9,Punch9,Control10,Punch10,(may be more) ...,,,,,,,,,,,,,,,,,,,,,,,
,2143690,75,Meštrović,Martin,,M,,0,05:00,16:02,11:02,0,1,KAP,OK Kapela,CRO,4,M12,M12,,,,,,,,,,,,,,,,0,0,0,13,M12,1.4,0,11,1,,16:02,62,00:38,37,01:49,66,02:07,61,03:17,43,05:38,40,06:20,42,07:42,41,08:19,60,09:03,54,09:48,100,10:38,,,,,,,,,,,,,,,,,,,,,,
,5729,180,Boban,Jakov,,M,,0,35:00,48:49,13:49,0,7,OK MERZ CRO,OK Ivan Merz,CRO,4,M12,M12,,,,,,,,,,,,,,,,0,0,0,13,M12,1.4,0,11,2,,48:49,62,02:54,37,04:01,66,04:27,61,05:36,43,07:56,40,08:53,42,10:04,41,10:49,60,11:35,54,12:27,100,13:23,,,,,,,,,,,,,,,,,,,,,,
,422981,148,Anadolac,Adam,,M,,0,11:00,30:30,19:30,0,7,OK MERZ CRO,OK Ivan Merz,CRO,4,M12,M12,,,,,,,,,,,,,,,,0,0,0,13,M12,1.4,0,11,3,,30:30,62,00:56,37,05:20,66,05:42,61,09:16,43,11:44,40,12:50,42,15:20,41,16:24,60,17:09,54,17:57,100,18:59,,,,,,,,,,,,,,,,,,,,,,
,406741,61,Nikolić,Matko,,M,,0,29:00,48:37,19:37,0,5,Vihor,OK Vihor,CRO,4,M12,M12,,,,,,,,,,,,,,,,0,0,0,13,M12,1.4,0,11,4,,48:37,62,00:46,37,01:39,66,02:24,61,03:52,43,07:50,40,08:54,42,10:49,41,11:56,60,13:34,54,14:44,100,19:15,,,,,,,,,,,,,,,,,,,,,,
,2117408,7,Lah,Mario,,M,,0,15:00,,,0,8,OK Varaždin,Orijentacijski klub Varaždin,CRO,4,M12,M12,,,,,,,,,,,,,,,,0,0,0,13,M12,1.4,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,222419,53,Mance,Teo,,M,,0,13:00,68:37,55:37,3,5,Vihor,OK Vihor,CRO,4,M12,M12,,,,,,,,,,,,,,,,0,0,0,13,M12,1.4,0,11,,,68:37,62,01:46,37,06:22,66,07:03,61,21:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2143680,128,Drobić,Sanjin,,M,,0,09:00,,,0,1,KAP,OK Kapela,CRO,4,M12,M12,,,,,,,,,,,,,,,,0,0,0,13,M12,1.4,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,222403,12,Ivezić,Viktor Ignjat,,M,,0,17:00,59:01,42:01,3,5,Vihor,OK Vihor,CRO,4,M12,M12,,,,,,,,,,,,,,,,0,0,0,13,M12,1.4,0,11,,,59:01,62,11:59,,,,,61,17:49,43,33:55,40,34:54,42,36:57,41,38:41,60,39:20,54,40:31,100,41:31,,,,,,,,,,,,,,,,,,,,,,
,406735,122,Vukelić,Juraj,,M,,0,14:00,28:48,14:48,0,4,Maksimir,OK Maksimir,CRO,11,M16,M16,,,,,,,,,,,,,,,,0,0,0,11,M16,2.3,0,17,1,,28:48,62,00:40,37,01:22,45,01:50,61,02:25,51,03:34,35,04:39,44,05:57,43,06:33,46,07:27,67,09:09,56,10:05,68,11:06,58,11:51,54,12:37,49,13:14,50,13:45,100,14:29,,,,,,,,,,
,2118094,5,Vodopija,Dario,,M,,0,10:00,26:15,16:15,0,1,KAP,OK Kapela,CRO,11,M16,M16,,,,,,,,,,,,,,,,0,0,0,11,M16,2.3,0,17,2,,26:15,62,00:38,37,01:17,45,01:50,61,02:27,51,03:27,35,04:19,44,05:46,43,06:35,46,07:43,67,09:21,56,10:22,68,11:18,58,12:20,54,13:10,49,13:48,50,14:27,100,15:57,,,,,,,,,,
,237599,92,Kuzmanić,Borna,,M,,0,20:00,37:20,17:20,0,6,JAP,OK Japetic,CRO,11,M16,M16,,,,,,,,,,,,,,,,0,0,0,11,M16,2.3,0,17,3,,37:20,62,00:38,37,01:23,45,01:59,61,02:42,51,03:49,35,04:44,44,06:15,43,06:49,46,08:01,67,09:08,56,11:08,68,12:12,58,13:20,54,14:10,49,15:19,50,16:04,100,16:56,,,,,,,,,,
,8656792,14,Pevec,Ozren,,M,,0,18:00,35:47,17:47,0,8,OK Varaždin,Orijentacijski klub Varaždin,CRO,11,M16,M16,,,,,,,,,,,,,,,,0,0,0,11,M16,2.3,0,17,4,,35:47,62,01:10,37,02:08,45,02:38,61,03:27,51,04:27,35,05:28,44,06:54,43,07:38,46,08:48,67,10:15,56,11:46,68,12:51,58,13:49,54,14:58,49,15:50,50,16:32,100,17:26,,,,,,,,,,
,1422007,83,Strmečki,Vibor,,M,,0,61:00,78:59,17:59,0,4,Maksimir,OK Maksimir,CRO,11,M16,M16,,,,,,,,,,,,,,,,0,0,0,11,M16,2.3,0,17,5,,78:59,62,00:45,37,01:33,45,02:06,61,02:58,51,04:21,35,05:17,44,06:44,43,07:26,46,08:39,67,09:59,56,11:32,68,12:45,58,13:50,54,14:51,49,15:47,50,16:45,100,17:35,,,,,,,,,,
,2141169,88,Milković,Patrick,,M,,0,16:00,37:23,21:23,0,6,JAP,OK Japetic,CRO,11,M16,M16,,,,,,,,,,,,,,,,0,0,0,11,M16,2.3,0,17,6,,37:23,62,00:51,37,01:55,45,02:29,61,04:33,51,06:11,35,07:02,44,08:55,43,10:57,46,12:04,67,13:12,56,15:11,68,16:18,58,17:22,54,18:12,49,19:21,50,20:08,100,20:56,,,,,,,,,,
,406737,160,Hribar,Timotej,,M,,0,08:00,30:21,22:21,0,13,OKB,OK Brežice,SLO,11,M16,M16,,,,,,,,,,,,,,,,0,0,0,11,M16,2.3,0,17,7,,30:21,62,04:01,37,05:02,45,05:32,61,06:15,51,07:36,35,08:49,44,10:31,43,11:18,46,12:44,67,14:04,56,16:03,68,17:32,58,18:37,54,19:31,49,20:24,50,21:09,100,22:04,,,,,,,,,,
,364421,97,Smital,Mika,,M,,0,06:00,38:58,32:58,0,5,Vihor,OK Vihor,CRO,11,M16,M16,,,,,,,,,,,,,,,,0,0,0,11,M16,2.3,0,17,8,,38:58,62,00:48,37,01:43,45,02:24,61,03:21,51,05:22,35,07:49,44,15:50,43,16:33,46,17:45,67,19:25,56,21:58,68,23:40,58,25:09,54,29:56,49,31:03,50,31:43,100,32:38,,,,,,,,,,
,,159,,Vacant,,M,,0,12:00,,,0,,,,,11,M16,M16,,,,,,,,,,,,,,,,0,0,0,11,M16,2.3,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,222408,18,Pavić,Viktor,,M,,0,22:00,39:56,17:56,3,5,Vihor,OK Vihor,CRO,11,M16,M16,,,,,,,,,,,,,,,,0,0,0,11,M16,2.3,0,17,,,39:56,62,07:42,37,08:33,,,61,10:09,,,,,,,43,12:01,,,,,,,,,,,54,16:38,,,,,100,17:37,,,,,,,,,,
,446316,27,Kelc,Noa,,M,,0,04:00,,,0,2,OK Jelen,OK Jelen,CRO,11,M16,M16,,,,,,,,,,,,,,,,0,0,0,11,M16,2.3,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8135002,37,Gobec,Jan,,M,,0,47:00,61:45,14:45,0,5,Vihor,OK Vihor,CRO,9,M20,M20,,,,,,,,,,,,,,,,0,0,0,9,M20,3.1,0,18,1,,61:45,36,00:00,53,00:00,66,01:33,34,02:24,65,02:54,55,03:25,39,04:55,57,06:44,48,08:34,67,09:14,46,10:03,41,11:12,59,11:53,60,12:15,54,12:53,50,13:41,52,13:58,100,14:30,,,,,,,,
,1289347,36,Kukec,Jura,,M,,0,07:00,22:11,15:11,0,5,Vihor,OK Vihor,CRO,9,M20,M20,,,,,,,,,,,,,,,,0,0,0,9,M20,3.1,0,18,2,,22:11,36,00:00,53,00:00,66,01:35,34,02:31,65,02:59,55,03:29,39,04:52,57,06:44,48,08:36,67,09:12,46,10:14,41,11:23,59,12:01,60,12:22,54,12:56,50,13:56,52,14:16,100,14:53,,,,,,,,
,345974,119,Kolarek,Noa,,M,,0,11:00,28:37,17:37,0,5,Vihor,OK Vihor,CRO,9,M20,M20,,,,,,,,,,,,,,,,0,0,0,9,M20,3.1,0,18,3,,28:37,36,00:00,53,00:00,66,01:49,34,02:50,65,03:21,55,03:52,39,05:28,57,07:35,48,10:14,67,10:57,46,12:03,41,13:26,59,14:14,60,14:40,54,15:16,50,16:31,52,16:46,100,17:22,,,,,,,,
,2113338,26,Kocijan,Luka,,M,,0,13:00,32:57,19:57,0,8,OK Varaždin,Orijentacijski klub Varaždin,CRO,9,M20,M20,,,,,,,,,,,,,,,,0,0,0,9,M20,3.1,0,18,4,,32:57,36,00:00,53,00:00,66,02:20,34,03:23,65,03:59,55,04:34,39,06:26,57,09:17,48,11:38,67,12:27,46,13:42,41,15:17,59,15:57,60,16:26,54,17:17,50,18:41,52,18:58,100,19:37,,,,,,,,
,222411,28,Krajnović,Luka,,M,,0,03:00,24:13,21:13,0,5,Vihor,OK Vihor,CRO,9,M20,M20,,,,,,,,,,,,,,,,0,0,0,9,M20,3.1,0,18,5,,24:13,36,00:00,53,00:00,66,02:03,34,03:05,65,03:46,55,04:17,39,06:12,57,10:10,48,12:23,67,13:03,46,14:11,41,16:05,59,17:15,60,17:41,54,18:22,50,19:42,52,20:04,100,20:49,,,,,,,,
,2113340,109,Pasquino,Ivan,,M,,0,15:00,30:58,15:58,3,8,OK Varaždin,Orijentacijski klub Varaždin,CRO,9,M20,M20,,,,,,,,,,,,,,,,0,0,0,9,M20,3.1,0,18,,,30:58,36,00:00,53,00:00,66,01:50,34,02:48,65,03:26,55,03:57,39,05:53,57,09:13,,,67,11:02,,,,,,,,,,,,,,,,,,,,,,,,
,,156,,Vacant,,M,,0,05:00,,,0,,,,,9,M20,M20,,,,,,,,,,,,,,,,0,0,0,9,M20,3.1,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,157,,Vacant,,M,,0,09:00,,,0,,,,,9,M20,M20,,,,,,,,,,,,,,,,0,0,0,9,M20,3.1,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8221221,89,Razum,Matija,,M,,0,32:00,45:42,13:42,0,6,JAP,OK Japetic,CRO,1,M21,M21,,,,,,,,,,,,,,,,0,0,0,1,M21,3.2,0,22,1,,45:42,33,00:45,45,01:09,34,01:46,65,02:13,55,02:38,38,02:55,51,03:07,39,04:11,40,05:46,48,07:13,47,07:52,46,08:54,43,09:34,56,10:08,58,10:45,41,11:07,60,11:30,54,11:58,49,12:26,50,12:50,52,13:02,100,13:28
,7212008,39,Peh,Krunoslav,,M,,0,18:00,33:51,15:51,0,1,KAP,OK Kapela,CRO,1,M21,M21,,,,,,,,,,,,,,,,0,0,0,1,M21,3.2,0,22,2,,33:51,33,00:52,45,01:17,34,01:59,65,02:30,55,03:00,38,03:20,51,03:33,39,04:45,40,06:47,48,08:28,47,09:14,46,10:26,43,11:14,56,11:51,58,12:32,41,12:52,60,13:23,54,13:57,49,14:28,50,14:56,52,15:10,100,15:36
,895099,59,Bijelić,Vedran,,M,,0,08:00,24:14,16:14,0,11,BJE,OK Bjelovar,CRO,1,M21,M21,,,,,,,,,,,,,,,,0,0,0,1,M21,3.2,0,22,3,,24:14,33,00:44,45,01:06,34,01:44,65,02:12,55,02:38,38,02:57,51,03:12,39,04:22,40,06:24,48,08:03,47,08:50,46,10:07,43,11:02,56,11:40,58,12:38,41,12:58,60,13:28,54,14:00,49,14:33,50,15:04,52,15:20,100,15:54
,2800016,68,Henc,Dražen,,M,,0,12:00,28:21,16:21,0,12,OKM,OK Medjimurje,CRO,1,M21,M21,,,,,,,,,,,,,,,,0,0,0,1,M21,3.2,0,22,4,,28:21,33,00:55,45,01:19,34,02:02,65,02:35,55,03:09,38,03:47,51,03:59,39,05:08,40,07:10,48,08:50,47,09:33,46,10:42,43,11:25,56,12:00,58,12:47,41,13:10,60,13:37,54,14:13,49,14:45,50,15:22,52,15:35,100,16:05
,2077853,143,Jevševar,Martin,,M,,0,30:00,46:56,16:56,0,13,OKB,OK Brežice,SLO,1,M21,M21,,,,,,,,,,,,,,,,0,0,0,1,M21,3.2,0,22,5,,46:56,33,00:50,45,01:17,34,02:02,65,02:31,55,02:59,38,03:21,51,03:36,39,04:46,40,06:57,48,08:46,47,09:31,46,10:39,43,11:29,56,12:13,58,13:00,41,13:27,60,14:05,54,14:36,49,15:16,50,15:47,52,16:09,100,16:39
,8079783,77,Varnica,Tomislav,,M,,0,26:00,43:04,17:04,0,5,Vihor,OK Vihor,CRO,1,M21,M21,,,,,,,,,,,,,,,,0,0,0,1,M21,3.2,0,22,6,,43:04,33,00:52,45,01:20,34,02:07,65,02:38,55,03:08,38,03:29,51,03:44,39,05:02,40,07:15,48,09:05,47,09:57,46,11:16,43,12:05,56,12:33,58,13:21,41,13:44,60,14:17,54,14:51,49,15:26,50,15:55,52,16:11,100,16:44
,500739,31,Jelić,Ivor,,M,,0,14:00,32:47,18:47,0,1,KAP,OK Kapela,CRO,1,M21,M21,,,,,,,,,,,,,,,,0,0,0,1,M21,3.2,0,22,7,,32:47,33,01:00,45,01:30,34,02:19,65,02:53,55,03:27,38,03:51,51,04:08,39,05:29,40,07:50,48,09:56,47,10:47,46,12:14,43,13:08,56,13:41,58,14:48,41,15:17,60,15:52,54,16:29,49,17:05,50,17:37,52,17:53,100,18:29
,2077852,144,Jevševar,Bojan,,M,,0,10:00,28:52,18:52,0,13,OKB,OK Brežice,SLO,1,M21,M21,,,,,,,,,,,,,,,,0,0,0,1,M21,3.2,0,22,8,,28:52,33,00:57,45,01:27,34,02:30,65,03:06,55,03:36,38,04:01,51,04:16,39,05:40,40,07:58,48,09:53,47,10:37,46,11:57,43,12:48,56,13:25,58,14:19,41,14:44,60,15:15,54,16:39,49,17:12,50,17:43,52,17:57,100,18:33
,7300541,15,Delimar,Domagoj,,M,,0,24:00,42:58,18:58,0,1,KAP,OK Kapela,CRO,1,M21,M21,,,,,,,,,,,,,,,,0,0,0,1,M21,3.2,0,22,9,,42:58,33,01:00,45,01:28,34,02:17,65,02:55,55,03:29,38,03:54,51,04:13,39,05:38,40,07:55,48,09:57,47,10:45,46,12:18,43,13:09,56,13:54,58,15:03,41,15:30,60,16:02,54,16:44,49,17:27,50,17:57,52,18:13,100,18:42
,222412,41,Celić,Oleg,,M,,0,06:00,25:19,19:19,0,5,Vihor,OK Vihor,CRO,1,M21,M21,,,,,,,,,,,,,,,,0,0,0,1,M21,3.2,0,22,10,,25:19,33,01:14,45,01:40,34,02:31,65,03:08,55,03:46,38,04:13,51,04:27,39,05:43,40,08:01,48,09:53,47,10:55,46,12:18,43,13:11,56,13:55,58,14:52,41,15:23,60,16:05,54,16:40,49,17:19,50,17:55,52,18:24,100,19:01
,222413,47,Turkalj,Marijan,,M,,0,20:00,39:27,19:27,0,5,Vihor,OK Vihor,CRO,1,M21,M21,,,,,,,,,,,,,,,,0,0,0,1,M21,3.2,0,22,11,,39:27,33,00:54,45,01:19,34,02:05,65,02:37,55,03:09,38,03:33,51,03:50,39,04:58,40,07:08,48,09:05,47,09:55,46,11:17,43,12:12,56,13:02,58,14:09,41,15:50,60,16:25,54,17:08,49,17:43,50,18:13,52,18:38,100,19:13
,232277,60,Draušnik,Ivan,,M,,0,22:00,41:55,19:55,0,11,BJE,OK Bjelovar,CRO,1,M21,M21,,,,,,,,,,,,,,,,0,0,0,1,M21,3.2,0,22,12,,41:55,33,00:59,45,01:30,34,02:19,65,02:55,55,03:29,38,03:51,51,04:09,39,05:32,40,07:57,48,09:56,47,11:43,46,13:19,43,14:12,56,14:45,58,15:45,41,16:13,60,16:43,54,17:24,49,18:03,50,18:40,52,18:56,100,19:35
,1423477,32,Đipalo,Bože,,M,,0,04:00,24:05,20:05,0,,,,,1,M21,M21,,,,,,,,,,,,,,,,0,0,0,1,M21,3.2,0,22,13,,24:05,33,00:56,45,01:22,34,02:09,65,02:41,55,03:13,38,03:41,51,03:56,39,05:15,40,07:39,48,09:46,47,10:43,46,12:12,43,13:07,56,13:58,58,15:58,41,16:23,60,16:52,54,17:28,49,18:07,50,18:45,52,19:06,100,19:44
,1426067,48,Mesić,Matija,,M,,0,16:00,37:49,21:49,0,5,Vihor,OK Vihor,CRO,1,M21,M21,,,,,,,,,,,,,,,,0,0,0,1,M21,3.2,0,22,14,,37:49,33,00:59,45,01:25,34,02:28,65,03:02,55,03:43,38,04:44,51,05:06,39,06:28,40,09:06,48,11:14,47,12:13,46,13:53,43,15:03,56,15:38,58,16:58,41,17:32,60,18:31,54,19:22,49,20:03,50,20:39,52,20:57,100,21:32
,,178,,Vacant,,M,,0,00:00,,,0,,,,,1,M21,M21,,,,,,,,,,,,,,,,0,0,0,1,M21,3.2,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9102186,17,Kaldi,Vedran,,M,,0,28:00,,,0,1,KAP,OK Kapela,CRO,1,M21,M21,,,,,,,,,,,,,,,,0,0,0,1,M21,3.2,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,179,,Vakant,,M,,0,59:00,,,0,,,,,1,M21,M21,,,,,,,,,,,,,,,,0,0,0,1,M21,3.2,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,232289,55,Jokić,Nikica,,M,,0,02:00,,,0,5,Vihor,OK Vihor,CRO,1,M21,M21,,,,,,,,,,,,,,,,0,0,0,1,M21,3.2,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2087742,23,Vodopija,Goran,,M,,0,48:00,62:57,14:57,0,1,KAP,OK Kapela,CRO,8,M35,M35,,,,,,,,,,,,,,,,0,0,0,7,M35,3,0,20,1,,62:57,33,00:50,45,01:15,34,01:55,65,02:30,55,03:00,38,03:27,51,03:39,39,04:53,40,06:47,48,08:35,47,09:14,46,10:23,56,11:22,41,12:03,60,12:29,54,12:58,49,13:32,50,14:01,52,14:15,100,14:42,,,,
,8230775,87,Ocvirk,Edi,,M,,0,52:00,66:59,14:59,0,6,JAP,OK Japetic,CRO,8,M35,M35,,,,,,,,,,,,,,,,0,0,0,7,M35,3,0,20,2,,66:59,33,00:48,45,01:11,34,01:51,65,02:21,55,02:47,38,03:10,51,03:23,39,04:30,40,06:22,48,08:05,47,08:49,46,09:57,56,10:54,41,11:38,60,12:31,54,13:00,49,13:31,50,14:01,52,14:16,100,14:45,,,,
,7820618,82,Delić,Petar,,M,,0,42:00,57:24,15:24,0,4,Maksimir,OK Maksimir,CRO,8,M35,M35,,,,,,,,,,,,,,,,0,0,0,7,M35,3,0,20,3,,57:24,33,00:48,45,01:12,34,01:55,65,02:24,55,02:51,38,03:13,51,03:28,39,04:38,40,06:32,48,09:06,47,09:43,46,10:50,56,11:44,41,12:23,60,12:48,54,13:18,49,13:51,50,14:21,52,14:35,100,15:06,,,,
,7211185,140,Bublić,Ivan,,M,,0,60:00,77:34,17:34,0,1,KAP,OK Kapela,CRO,8,M35,M35,,,,,,,,,,,,,,,,0,0,0,7,M35,3,0,20,4,,77:34,33,02:04,45,02:28,34,03:11,65,03:40,55,04:09,38,04:29,51,04:45,39,06:06,40,07:58,48,09:42,47,10:23,46,11:39,56,12:34,41,14:34,60,14:59,54,15:31,49,16:02,50,16:34,52,16:47,100,17:17,,,,
,2088246,74,Meštrović,Tomislav,,M,,0,40:00,60:01,20:01,0,1,KAP,OK Kapela,CRO,8,M35,M35,,,,,,,,,,,,,,,,0,0,0,7,M35,3,0,20,5,,60:01,33,00:59,45,01:28,34,02:18,65,02:55,55,03:28,38,03:54,51,04:11,39,05:37,40,08:38,48,10:59,47,11:50,46,13:22,56,14:43,41,15:52,60,16:26,54,17:09,49,17:52,50,18:35,52,18:54,100,19:37,,,,
,7211121,38,Stankovski,Dalibor,,M,,0,58:00,78:28,20:28,0,2,OK Jelen,OK Jelen,CRO,8,M35,M35,,,,,,,,,,,,,,,,0,0,0,7,M35,3,0,20,6,,78:28,33,01:03,45,01:33,34,02:25,65,03:02,55,03:37,38,04:02,51,04:22,39,05:54,40,08:54,48,11:13,47,12:08,46,13:44,56,14:58,41,16:01,60,17:03,54,17:47,49,18:32,50,19:10,52,19:28,100,20:07,,,,
,337656,63,Putniković,Branimir,,M,,0,44:00,65:02,21:02,0,1,KAP,OK Kapela,CRO,8,M35,M35,,,,,,,,,,,,,,,,0,0,0,7,M35,3,0,20,7,,65:02,33,01:19,45,01:52,34,02:52,65,03:34,55,04:22,38,05:13,51,05:32,39,06:51,40,09:19,48,11:38,47,12:53,46,14:31,56,15:46,41,16:51,60,17:31,54,18:22,49,19:06,50,19:41,52,20:00,100,20:42,,,,
,237608,112,Rako,Duje,,M,,0,54:00,77:14,23:14,0,5,Vihor,OK Vihor,CRO,8,M35,M35,,,,,,,,,,,,,,,,0,0,0,7,M35,3,0,20,8,,77:14,33,01:11,45,01:48,34,02:48,65,03:30,55,04:17,38,04:56,51,05:18,39,07:02,40,09:57,48,12:37,47,13:36,46,15:35,56,17:26,41,18:34,60,19:20,54,20:07,49,20:59,50,21:40,52,22:14,100,22:55,,,,
,222404,13,Ivezić,Bernard,,M,,0,50:00,83:04,33:04,0,5,Vihor,OK Vihor,CRO,8,M35,M35,,,,,,,,,,,,,,,,0,0,0,7,M35,3,0,20,9,,83:04,33,01:19,45,01:56,34,03:06,65,03:49,55,04:32,38,05:04,51,05:27,39,07:38,40,12:21,48,16:35,47,18:18,46,21:14,56,23:40,41,26:00,60,27:10,54,28:31,49,29:51,50,31:03,52,31:43,100,32:38,,,,
,,154,,Vacant,,M,,0,36:00,,,0,,,,,8,M35,M35,,,,,,,,,,,,,,,,0,0,0,7,M35,3,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2113424,118,Kosić,Luka,,M,,0,56:00,73:31,17:31,3,6,JAP,OK Japetic,CRO,8,M35,M35,,,,,,,,,,,,,,,,0,0,0,7,M35,3,0,20,,,73:31,33,01:01,45,01:28,34,02:19,65,02:54,55,03:31,38,03:55,51,04:12,39,05:48,40,08:16,48,10:27,47,11:15,,,56,12:35,41,13:30,60,14:11,54,15:03,49,15:45,50,16:23,52,16:39,100,17:15,,,,
,7212325,56,Spasić,Vladimir,,M,,0,34:00,,,0,1,KAP,OK Kapela,CRO,8,M35,M35,,,,,,,,,,,,,,,,0,0,0,7,M35,3,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,155,,Vacant,,M,,0,46:00,,,0,,,,,8,M35,M35,,,,,,,,,,,,,,,,0,0,0,7,M35,3,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
