Surname;First name;Club;Time;Classifier;Short;km;m;Course controls;;
Horvat;Saša;OK Maksimir;88:55:00;0;M55;3970;165;8;;
Lukaèiæ;Ivo;OK Maksimir;100:44:00;0;M55;3970;165;8;;
;;;;;;;;;;
Belaj;Željko;OK Bjelovar;64:57:00;0;M65;3390;155;7;;
Turkalj;Milan;OK Ivan Merz;66:22:00;0;M65;3390;155;7;;
Ulip;Zeljko;OK Maksimir;71:06:00;0;M65;3390;155;7;;
Mesiæ;Ivica;OK Vihor;83:23:00;0;M65;3390;155;7;;
Èepelak;Radovan;OK Maksimir;93:41:00;0;M65;3390;155;7;;
;;;;;;;;;;
Kovaèiæ;Ivica;;64:33:00;0;OPEN dugi;3970;175;8;;
Ulrich Cveniæ;Ivana;OK Kapela;84:16:00;0;OPEN dugi;3970;175;8;;
Ferreira;Fausto;Clube de Aventura da Bairrada;87:53:00;0;OPEN dugi;3970;175;8;;
Arbanas;Barbara;Clube de Aventura da Bairrada;91:54:00;0;OPEN dugi;3970;175;8;;
Novina;Ana;OK Kapela;104:48:00;0;OPEN dugi;3970;175;8;;
Maheèiæ;Ivana;OK Kapela;108:40:00;0;OPEN dugi;3970;175;8;;
Krkiæ;Aida;OK Kapela;136:56:00;0;OPEN dugi;3970;175;8;;
Debic;Mladen;OK Maksimir;154:29:00;0;OPEN dugi;3970;175;8;;
Soldo;Margita;OK Kapela;163:57:00;0;OPEN dugi;3970;175;8;;
Stankoviæ;Bruno;OK Kapela;221:08:00;0;OPEN dugi;3970;175;8;;
Baæa;Natalija;OK Kapela;120:59:00;3;OPEN dugi;3970;175;8;;
Pirija;Maja;OK Kapela;217:02:00;3;OPEN dugi;3970;175;8;;
;;;;;;;;;;
Željem;Roko;OK Kapela;39:44:00;0;OPEN kratki;2810;105;7;;
Pepiæ;Mara;OK Kapela;71:06:00;0;OPEN kratki;2810;105;7;;
Miliæeviæ;Ira;OK Kapela;78:09:00;0;OPEN kratki;2810;105;7;;
Džapo;Tomislav;OK Kapela;79:54:00;0;OPEN kratki;2810;105;7;;
Paviæ;Viktor;OK Vihor;83:40:00;0;OPEN kratki;2810;105;7;;
Došen;Tijana;OK Kapela;84:53:00;0;OPEN kratki;2810;105;7;;
Suèiæ;Luka;OK Vihor;90:30:00;0;OPEN kratki;2810;105;7;;
Hodak;Janko;OK Vihor;99:16:00;0;OPEN kratki;2810;105;7;;
Juraè;Ema;OK Vihor;101:57:00;0;OPEN kratki;2810;105;7;;
Èavlina;Mirjana;OK Vihor;107:00:00;0;OPEN kratki;2810;105;7;;
Zubèiæ;Snježana;OK Kapela;140:58:00;0;OPEN kratki;2810;105;7;;
Sladiæ;Ana;OK Kapela;;1;OPEN kratki;2810;105;7;;
Vidoviæ Milas;Ivan;OK Kapela;;1;OPEN kratki;2810;105;7;;
Rubiniæ;Ivica;OK Jelen;;1;OPEN kratki;2810;105;7;;
Labaš;Predrag;OK Ivan Merz;180:46:00;3;OPEN kratki;2810;105;7;;
;;;;;;;;;;
Drobiæ;Melissa;OK Kapela;47:50:00;0;Ž12;2150;65;6;;
Paviæ;Monika;OK Vihor;98:50:00;0;Ž12;2150;65;6;;
Dasoviæ;Petra;OK Kapela;116:12:00;0;Ž12;2150;65;6;;
Balaban;Iva;OK Sova;;1;Ž12;2150;65;6;;
Ogorelec;Anja Vita;OK Kapela;60:37:00;3;Ž12;2150;65;6;;
Hercigonja;Lucija;OK Kapela;53:42:00;3;Ž12;2150;65;6;;
Valpotiæ;Tara;OK Kapela;49:59:00;4;Ž12;2150;65;6;;
;;;;;;;;;;
Salopek;Dorja;OK Ris Delnice;35:38:00;0;Ž14;2810;105;7;;
Štambuk;Zdenka Petra;OK Ivan Merz;49:36:00;0;Ž14;2810;105;7;;
Vukeliæ;Dora;OK Maksimir;62:37:00;0;Ž14;2810;105;7;;
Hodak;Mirta;OK Vihor;67:40:00;0;Ž14;2810;105;7;;
Æuzela;Morana;OK Kapela;70:59:00;0;Ž14;2810;105;7;;
Težak;Magdalena;OK Vihor;71:41:00;0;Ž14;2810;105;7;;
Marekoviæ;Ira;OK Vihor;73:42:00;0;Ž14;2810;105;7;;
Potrebica;Ema;Orijentacijski klub Varaždin;77:37:00;0;Ž14;2810;105;7;;
Vidakoviæ;Majda;OK Kapela;83:46:00;0;Ž14;2810;105;7;;
Kaniški;Laura;OK Maksimir;;1;Ž14;2810;105;7;;
Fejziæ;Hanna;OK Maksimir;;1;Ž14;2810;105;7;;
;;;;;;;;;;
Jerkoviæ Periæ;Olga;OK Kapela;48:24:00;0;Ž16;3830;195;9;;
Pavlin;Paula;OK Vihor;48:32:00;0;Ž16;3830;195;9;;
Boban;Rea;OK Ivan Merz;109:48:00;3;Ž16;3830;195;9;;
;;;;;;;;;;
Tišljar;Ana;OK Orion;69:44:00;0;Ž20;4620;230;8;;
Lovrec;Mia;OK Vihor;75:27:00;0;Ž20;4620;230;8;;
Srebaèiæ;Ana;OK Ivan Merz;124:16:00;0;Ž20;4620;230;8;;
Kermek;Dora;OK Ivan Merz;;1;Ž20;4620;230;8;;
;;;;;;;;;;
Flerin Drevenšek;Mojca;Kamniški orientacijski klub;76:26:00;0;Ž21A;6220;365;15;;
Vukmanoviæ;Vinka;OK Kapela;80:36:00;0;Ž21A;6220;365;15;;
Paviæ;Mirja;OK Japetic;83:06:00;0;Ž21A;6220;365;15;;
Štambuk;Iva;OK Ivan Merz;96:21:00;0;Ž21A;6220;365;15;;
Beblek;Ana;OK Jelen;109:00:00;0;Ž21A;6220;365;15;;
Bedekoviæ Tankoviæ;Martina;OK Jelen;112:54:00;0;Ž21A;6220;365;15;;
Kovaljesko;Monika;OK Kapela;130:48:00;0;Ž21A;6220;365;15;;
Tomažin;Urša;OK Azimut;137:29:00;0;Ž21A;6220;365;15;;
Težak;Dora;OK Vihor;154:27:00;0;Ž21A;6220;365;15;;
Jandreèiæ;Nola;OK Japetic;;2;Ž21A;6220;365;15;;
;;;;;;;;;;
Kopjar;Marina;OK Ivan Merz;48:08:00;0;Ž21B;3100;165;8;;
Deliæ;Ana;OK Maksimir;62:53:00;0;Ž21B;3100;165;8;;
Kos;Ines;OK Kapela;64:03:00;0;Ž21B;3100;165;8;;
Dukiæ;Višnja;OK Kapela;68:27:00;0;Ž21B;3100;165;8;;
Gajdek;Željka;OK Jelen;69:13:00;0;Ž21B;3100;165;8;;
Plevnik;Petra;OK Bjelovar;69:38:00;0;Ž21B;3100;165;8;;
Pongrac;Maja;OK Japetic;70:11:00;0;Ž21B;3100;165;8;;
Baburek;Gabrijela;OK Japetic;76:03:00;0;Ž21B;3100;165;8;;
Herceg;Marija;OK Vihor;77:46:00;0;Ž21B;3100;165;8;;
Prpiæ;Paula;OK Vihor;83:08:00;0;Ž21B;3100;165;8;;
Latinger;Sandra;OK Kapela;87:15:00;0;Ž21B;3100;165;8;;
Tatiæ;Iva;OK Vihor;88:27:00;0;Ž21B;3100;165;8;;
Govedarica;Zvjezdana;OK Japetic;91:06:00;0;Ž21B;3100;165;8;;
Dukiæ;Helena;OK Vihor;93:45:00;0;Ž21B;3100;165;8;;
Juraè;Ines;OK Vihor;94:36:00;0;Ž21B;3100;165;8;;
Radiæ;Vedrana;OK Vihor;101:06:00;0;Ž21B;3100;165;8;;
Birkiæ;Draženka;OK Jelen;103:04:00;0;Ž21B;3100;165;8;;
Kovaèiæ;Ana;OK Vihor;107:03:00;0;Ž21B;3100;165;8;;
Šestan Krajnoviæ;Ivana;OK Vihor;111:36:00;0;Ž21B;3100;165;8;;
Milièeviæ;Aleksandra;OK Vihor;165:13:00;0;Ž21B;3100;165;8;;
Jonke Valpotiæ;Ivana;OK Kapela;;1;Ž21B;3100;165;8;;
Melmajer;Nastasia;OK Sova;;1;Ž21B;3100;165;8;;
Ivkoviæ;Sara;OK Sova;;1;Ž21B;3100;165;8;;
Težak;Ivana;OK Vihor;;1;Ž21B;3100;165;8;;
;;;;;;;;;;
Ocvirk;Eva;OK Japetic;50:33:00;0;Ž35;4490;220;9;;
Hribar;Anica;OK Brežice;57:06:00;0;Ž35;4490;220;9;;
Cini;Fabiana;OK Maksimir;68:43:00;0;Ž35;4490;220;9;;
Mandiæ;Ana;OK Kapela;70:46:00;0;Ž35;4490;220;9;;
Èorko Meštroviæ;Irena;OK Kapela;75:07:00;0;Ž35;4490;220;9;;
Glagoliæ;Saša;OK Kapela;76:18:00;0;Ž35;4490;220;9;;
Berženji;Sanda;OK Kapela;77:34:00;0;Ž35;4490;220;9;;
Sertiæ;Ivana;OK Kapela;81:08:00;0;Ž35;4490;220;9;;
Jakšiæ;Mirka;OK Maksimir;83:49:00;0;Ž35;4490;220;9;;
Milas;Lucija;OK Kapela;84:50:00;0;Ž35;4490;220;9;;
Šantiæ;Nikolina;OK Bjelovar;92:29:00;0;Ž35;4490;220;9;;
Kušt;Maja;OK Vihor;93:30:00;0;Ž35;4490;220;9;;
Stupalo;Vlatka;OK Vihor;95:12:00;0;Ž35;4490;220;9;;
Kiš;Marta;OK Vihor;103:16:00;0;Ž35;4490;220;9;;
Stipic;Bernardica;OK Vihor;;2;Ž35;4490;220;9;;
Potrebica;Tanja;Orijentacijski klub Varaždin;;1;Ž35;4490;220;9;;
;;;;;;;;;;
Kuzmaniæ;Ivana;OK Japetic;51:26:00;0;Ž45;3620;165;6;;
Glinska;Beata Adrianna;OK Kapela;74:08:00;0;Ž45;3620;165;6;;
Vuk;Srebrenka;OK Kapela;75:20:00;0;Ž45;3620;165;6;;
Cvitkoviæ;Maja;OK Vihor;75:34:00;0;Ž45;3620;165;6;;
Nikoliæ;Bojana;OK Vihor;76:15:00;0;Ž45;3620;165;6;;
Paviæ;Ana-Marija;OK Vihor;77:46:00;0;Ž45;3620;165;6;;
Kabalin Boreniæ;Višnja;OK Maksimir;78:13:00;0;Ž45;3620;165;6;;
Franc;Vera;OK Kapela;78:37:00;0;Ž45;3620;165;6;;
Vendler Èepelak;Željka;OK Maksimir;83:02:00;0;Ž45;3620;165;6;;
Fabek;Branka;OK Japetic;83:29:00;0;Ž45;3620;165;6;;
Pavlin;Daliborka;OK Vihor;90:05:00;0;Ž45;3620;165;6;;
Srebaèiæ;Davorka;OK Ivan Merz;95:38:00;0;Ž45;3620;165;6;;
Horvat;Mirjana;OK Maksimir;100:35:00;0;Ž45;3620;165;6;;
Lovrec;Darinka;OK Vihor;113:20:00;0;Ž45;3620;165;6;;
Kraintz;Evelyn;OK Maksimir;115:29:00;0;Ž45;3620;165;6;;
Gradeèak Galoviæ;Marija;OK Kapela;118:57:00;0;Ž45;3620;165;6;;
Baturina;Nada;OK Kapela;148:39:00;0;Ž45;3620;165;6;;
Penc;Sanja;OK Vihor;119:54:00;3;Ž45;3620;165;6;;
Ebenspanger;Emilija;OK Kapela;;1;Ž45;3620;165;6;;
Zadravec - Kermek;Senija;OK Ivan Merz;;1;Ž45;3620;165;6;;
