"Stno";"SI card";"Database Id";"Surname";"First name";"YB";"S";"Block";"nc";"Start";"Finish";"Time";"Classifier";"Club no.";"Cl.name";"City";"Nat";"Cl. no.";"Short";"Long";"Num1";"Num2";"Num3";"Text1";"Text2";"Text3";"Adr. name";"Street";"Line2";"Zip";"City";"Phone";"Fax";"EMail";"Id/Club";"Rented";"Start fee";"Paid";"Course no.";"Course";"km";"m";"Course controls";"Pl"
149;423990;"37015";"Stepan";"Nikolina";;"M";;0;"21:00";"34:26";"13:26";0;6776;;"OK Torpedo";"CRO";6334;"Ž21";"Ž21";;;;;;;;;;;;;;;;0;"70,00";0;2;"Ž21";"2.5";30;15;1
137;886601;"36364";"Orliæ";"Antonija";;"M";;0;"51:00";"1:06:43";"15:43";0;6726;;"OK Bjelovar";"CRO";6334;"Ž21";"Ž21";;;;;;;;;;;;;;;;0;"70,00";0;2;"Ž21";"2.5";30;15;2
133;337656;"36626";"Žgela";"Marijana";;"M";;0;"15:00";"31:18";"16:18";0;6682;;"OK Kapela";"CRO";6334;"Ž21";"Ž21";;;;;;;;;;;;;;;;0;"70,00";0;2;"Ž21";"2.5";30;15;3
178;206312;"37071";"Tusiæ";"Anamaria";;"M";;0;"36:00";"52:18";"16:18";0;6866;;"OK Lokve";"CRO";6334;"Ž21";"Ž21";;;;;;;;;;;;;;;;0;"70,00";0;2;"Ž21";"2.5";30;15;3
115;700021;"37112";"Gobec";"Ivana";;"M";;0;"30:00";"46:20";"16:20";0;6434;;"OK Vihor";"CRO";6334;"Ž21";"Ž21";;;;;;;;;;;;;;;;0;"70,00";0;2;"Ž21";"2.5";30;15;5
119;222409;"37142";"Beblek";"Ana";;"M";;0;"45:00";"1:03:03";"18:03";0;6434;;"OK Vihor";"CRO";6334;"Ž21";"Ž21";;;;;;;;;;;;;;;;0;"70,00";0;2;"Ž21";"2.5";30;15;6
146;423991;"37012";"Kružiæ";"Tea";;"M";;0;"12:00";"30:58";"18:58";0;6776;;"OK Torpedo";"CRO";6334;"Ž21";"Ž21";;;;;;;;;;;;;;;;0;"70,00";0;2;"Ž21";"2.5";30;15;7
125;442573;"37171";"Sršen";"Matea";;"M";;0;"48:00";"1:07:38";"19:38";0;6434;;"OK Vihor";"CRO";6334;"Ž21";"Ž21";;;;;;;;;;;;;;;;0;"70,00";0;2;"Ž21";"2.5";30;15;8
106;504515;"36745";"Gobec";"Neda";;"M";;0;"9:00";"28:50";"19:50";0;6434;;"OK Vihor";"CRO";6334;"Ž21";"Ž21";;;;;;;;;;;;;;;;0;"70,00";0;2;"Ž21";"2.5";30;15;9
132;247391;"36060";"Haramija";"Marija";;"M";;0;"27:00";"54:23";"27:23";0;6682;;"OK Kapela";"CRO";6334;"Ž21";"Ž21";;;;;;;;;;;;;;;;0;"70,00";0;2;"Ž21";"2.5";30;15;11
175;889172;"37093";"Štambuk";"Matej";;"M";;0;"2:00";"18:11";"16:11";0;6863;;"OK Ivan Merz";"CRO";6335;"M20";"M20";;;;;;;;;;;;;;;;0;"50,00";0;5;"M35+M20";"2.8";60;13;1
174;889671;"37092";"Štambuk";"Mario";;"M";;0;"10:00";"26:17";"16:17";0;6863;;"OK Ivan Merz";"CRO";6335;"M20";"M20";;;;;;;;;;;;;;;;0;"50,00";0;5;"M35+M20";"2.8";60;13;2
187;232276;;"Sokoloviæ";"Hana";;"Ž";;0;"42:00";"1:03:40";"21:40";0;6726;;"OK Bjelovar";"CRO";6334;"Ž20";"Ž20";;;;;;;;;;;;;;;;0;"0,00";0;4;"Ž20+M16";"2.2";20;13;1
109;893821;"37021";"Mihaljeviæ";"Luka";;"M";;0;"26:00";"39:13";"13:13";0;6434;;"OK Vihor";"CRO";6337;"M16";"M16";;;;;;;;;;;;;;;;0;"50,00";0;4;"Ž20+M16";"2.2";20;13;1
200;500461;;"Malnar";"Patrik";;"M";;0;"5:00";"18:17";"13:17";0;6875;;"OK Ris";"CRO";6337;"M16";"M16";;;;;;;;;;;;;;;;0;"0,00";0;4;"Ž20+M16";"2.2";20;13;2
108;222408;"36756";"Skukan";"Filip";;"M";;0;"20:00";"46:23";"26:23";0;6434;;"OK Vihor";"CRO";6337;"M16";"M16";;;;;;;;;;;;;;;;0;"50,00";0;4;"Ž20+M16";"2.2";20;13;3
147;423992;"37013";"Medaniæ";"David";;"M";;0;"2:00";"50:33";"48:33";0;6776;;"OK Torpedo";"CRO";6337;"M16";"M16";;;;;;;;;;;;;;;;0;"50,00";0;4;"Ž20+M16";"2.2";20;13;4
155;237600;"36910";"Lehpamer";"Lovro";;"M";;0;"14:00";"39:23";"25:23";3;6847;;"OK Japetiæ";"CRO";6337;"M16";"M16";;;;;;;;;;;;;;;;0;"50,00";0;4;"Ž20+M16";"2.2";20;13;
117;222404;"37139";"Borisavljeviæ";"Karlo";;"M";;0;"8:00";;;1;6434;;"OK Vihor";"CRO";6337;"M16";"M16";;;;;;;;;;;;;;;;0;"50,00";0;4;"Ž20+M16";"2.2";20;13;
112;893815;"37038";"Lovrec";"Iva";;"M";;0;"15:00";"29:40";"14:40";0;6434;;"OK Vihor";"CRO";6338;"Ž16";"Ž16";;;;;;;;;;;;;;;;0;"50,00";0;6;"Ž35+Ž16";"1.9";25;9;1
120;893808;"37143";"Težak";"Dora";;"M";;0;"3:00";"18:29";"15:29";0;6434;;"OK Vihor";"CRO";6338;"Ž16";"Ž16";;;;;;;;;;;;;;;;0;"50,00";0;6;"Ž35+Ž16";"1.9";25;9;2
105;504516;"36744";"Gobec";"Lea Katarina";;"M";;0;"7:00";"25:10";"18:10";0;6434;;"OK Vihor";"CRO";6338;"Ž16";"Ž16";;;;;;;;;;;;;;;;0;"50,00";0;6;"Ž35+Ž16";"1.9";25;9;3
177;211531;"37165";"Druèak";"Hana";;"M";;0;"11:00";"50:35";"39:35";3;6863;;"OK Ivan Merz";"CRO";6338;"Ž16";"Ž16";;;;;;;;;;;;;;;;0;"50,00";0;6;"Ž35+Ž16";"1.9";25;9;
203;893809;;"Vata";"Ema";;"Ž";;0;"5:00";;;3;6434;;"OK Vihor";"CRO";6338;"Ž16";"Ž16";;;;;;;;;;;;;;;;0;"0,00";0;6;"Ž35+Ž16";"1.9";25;9;
151;237592;"36906";"Cvetkoviæ";"Filip";;"M";;0;"22:00";"33:33";"11:33";0;6847;;"OK Japetiæ";"CRO";6339;"M12";"M12";;;;;;;;;;;;;;;;0;"50,00";0;3;"M12+Ž12+OPEN";"1.6";15;10;1
162;237599;"36917";"Puhariæ";"Roko";;"M";;0;"12:00";"24:12";"12:12";0;6847;;"OK Japetiæ";"CRO";6339;"M12";"M12";;;;;;;;;;;;;;;;0;"50,00";0;3;"M12+Ž12+OPEN";"1.6";15;10;2
121;893830;"37144";"Težak";"Karlo";;"M";;0;"18:00";"33:32";"15:32";0;6434;;"OK Vihor";"CRO";6339;"M12";"M12";;;;;;;;;;;;;;;;0;"50,00";0;3;"M12+Ž12+OPEN";"1.6";15;10;3
107;504517;"36746";"Gobec";"Timo";;"M";;0;"8:00";"24:33";"16:33";0;6434;;"OK Vihor";"CRO";6339;"M12";"M12";;;;;;;;;;;;;;;;0;"50,00";0;3;"M12+Ž12+OPEN";"1.6";15;10;4
101;893811;"34365";"Gobec";"Jan";;"M";;0;"14:00";"39:49";"25:49";0;6434;;"OK Vihor";"CRO";6339;"M12";"M12";;;;;;;;;;;;;;;;0;"50,00";0;3;"M12+Ž12+OPEN";"1.6";15;10;5
172;5737;"37090";"Štambuk";"Andro Vladimir";;"M";;0;"6:00";;;1;6863;;"OK Ivan Merz";"CRO";6339;"M12";"M12";;;;;;;;;;;;;;;;0;"50,00";0;3;"M12+Ž12+OPEN";"1.6";15;10;
123;222402;"37159";"Letica";"Ivan";;"M";;0;"2:00";;;1;6434;;"OK Vihor";"CRO";6339;"M12";"M12";;;;;;;;;;;;;;;;0;"50,00";0;3;"M12+Ž12+OPEN";"1.6";15;10;
160;46490;"36915";"Ocvirk";"Pia";;"M";;0;"28:00";"37:29";"9:29";0;6847;;"OK Japetiæ";"CRO";6340;"Ž12";"Ž12";;;;;;;;;;;;;;;;0;"50,00";0;3;"M12+Ž12+OPEN";"1.6";15;10;1
113;893816;"37039";"Lovrec";"Mia";;"M";;0;"36:00";"48:52";"12:52";0;6434;;"OK Vihor";"CRO";6340;"Ž12";"Ž12";;;;;;;;;;;;;;;;0;"50,00";0;3;"M12+Ž12+OPEN";"1.6";15;10;2
145;206432;"37011";"Košuljandiæ";"Iva";;"M";;0;"24:00";"46:33";"22:33";0;6776;;"OK Torpedo";"CRO";6340;"Ž12";"Ž12";;;;;;;;;;;;;;;;0;"50,00";0;3;"M12+Ž12+OPEN";"1.6";15;10;3
165;46459;"37067";"Ocvirk";"Til";;"M";;0;"32:00";"1:04:10";"32:10";0;6847;;"OK Japetiæ";"CRO";6340;"Ž12";"Ž12";;;;;;;;;;;;;;;;0;"50,00";0;3;"M12+Ž12+OPEN";"1.6";15;10;4
139;232286;"37009";"Orehoci";"Robert";;"M";;0;"55:00";"1:10:25";"15:25";0;6726;;"OK Bjelovar";"CRO";6341;"M35";"M35";;;;;;;;;;;;;;;;0;"70,00";0;5;"M35+M20";"2.8";60;13;1
114;893813;"37040";"Lovrec";"Nenad";;"M";;0;"49:00";"1:06:11";"17:11";0;6434;;"OK Vihor";"CRO";6341;"M35";"M35";;;;;;;;;;;;;;;;0;"70,00";0;5;"M35+M20";"2.8";60;13;2
124;893829;"37170";"Delgado";"Francisco";;"M";;0;"47:00";"1:05:13";"18:13";0;6434;;"OK Vihor";"CRO";6341;"M35";"M35";;;;;;;;;;;;;;;;0;"70,00";0;5;"M35+M20";"2.8";60;13;3
104;893801;"36743";"Gobec";"Karlo";;"M";;0;"41:00";"59:51";"18:51";0;6434;;"OK Vihor";"CRO";6341;"M35";"M35";;;;;;;;;;;;;;;;0;"70,00";0;5;"M35+M20";"2.8";60;13;4
173;5765;"37091";"Štambuk";"Dario";;"M";;0;"27:00";"46:05";"19:05";0;6863;;"OK Ivan Merz";"CRO";6341;"M35";"M35";;;;;;;;;;;;;;;;0;"70,00";0;5;"M35+M20";"2.8";60;13;5
130;236865;"36958";"Lukaèiæ";"Ivica";;"M";;0;"21:00";"43:11";"22:11";0;6587;;"OK Maksimir";"CRO";6341;"M35";"M35";;;;;;;;;;;;;;;;0;"35,00";0;5;"M35+M20";"2.8";60;13;6
127;300743;"35021";"Vukeliæ";"Bojan";;"M";;0;"1:02:00";"1:25:17";"23:17";0;6587;;"OK Maksimir";"CRO";6341;"M35";"M35";;;;;;;;;;;;;;;;0;"70,00";0;5;"M35+M20";"2.8";60;13;7
215;893833;;"Horjan";"Zdenko";;"M";;0;"43:00";"1:07:07";"24:07";0;6434;;"OK Vihor";"CRO";6341;"M35";"M35";;;;;;;;;;;;;;;;0;"0,00";0;5;"M35+M20";"2.8";60;13;8
135;505905;"37086";"Jeliæ";"Mladen";;"M";;0;"35:00";"1:00:15";"25:15";0;6682;;"OK Kapela";"CRO";6341;"M35";"M35";;;;;;;;;;;;;;;;0;"70,00";0;5;"M35+M20";"2.8";60;13;9
142;232309;"37075";"Sokoloviæ";"Slobodan";;"M";;0;"39:00";"1:04:53";"25:53";0;6726;;"OK Bjelovar";"CRO";6341;"M35";"M35";;;;;;;;;;;;;;;;0;"70,00";0;5;"M35+M20";"2.8";60;13;10
144;423981;"37010";"Jasprica";"Damir";;"M";;0;"53:00";"1:19:40";"26:40";0;6776;;"OK Torpedo";"CRO";6341;"M35";"M35";;;;;;;;;;;;;;;;0;"70,00";0;5;"M35+M20";"2.8";60;13;11
110;546169;"37022";"Matijašiæ";"Josip";;"M";;0;"29:00";"1:00:09";"31:09";0;6434;;"OK Vihor";"CRO";6341;"M35";"M35";;;;;;;;;;;;;;;;0;"70,00";0;5;"M35+M20";"2.8";60;13;12
171;422983;"37068";"Božinoviæ";"Milan";;"M";;0;"33:00";"1:06:16";"33:16";0;6863;;"OK Ivan Merz";"CRO";6341;"M35";"M35";;;;;;;;;;;;;;;;0;"70,00";0;5;"M35+M20";"2.8";60;13;13
170;422982;"37035";"Turkalj";"Milan";;"M";;0;"25:00";"58:34";"33:34";0;6863;;"OK Ivan Merz";"CRO";6341;"M35";"M35";;;;;;;;;;;;;;;;0;"70,00";0;5;"M35+M20";"2.8";60;13;14
166;422981;"37031";"Branoviæ";"Stanislav";;"M";;0;"19:00";"57:51";"38:51";0;6863;;"OK Ivan Merz";"CRO";6341;"M35";"M35";;;;;;;;;;;;;;;;0;"70,00";0;5;"M35+M20";"2.8";60;13;15
122;893807;"37146";"Težak";"Robert";;"M";;0;"23:00";;;1;6434;;"OK Vihor";"CRO";6341;"M35";"M35";;;;;;;;;;;;;;;;0;"70,00";0;5;"M35+M20";"2.8";60;13;
159;700027;"36914";"Ocvirk";"Eva";;"M";;0;"34:00";"45:43";"11:43";0;6847;;"OK Japetiæ";"CRO";6342;"Ž35";"Ž35";;;;;;;;;;;;;;;;0;"70,00";0;6;"Ž35+Ž16";"1.9";25;9;1
126;435468;"35020";"Vukeliæ";"Ana";;"M";;0;"1:01:00";"1:14:51";"13:51";0;6587;;"OK Maksimir";"CRO";6342;"Ž35";"Ž35";;;;;;;;;;;;;;;;0;"70,00";0;6;"Ž35+Ž16";"1.9";25;9;2
111;893814;"37037";"Lovrec";"Darinka";;"M";;0;"30:00";"45:56";"15:56";0;6434;;"OK Vihor";"CRO";6342;"Ž35";"Ž35";;;;;;;;;;;;;;;;0;"70,00";0;6;"Ž35+Ž16";"1.9";25;9;3
116;406740;"37113";"Nikoliæ";"Bojana";;"M";;0;"54:00";"1:10:15";"16:15";0;6434;;"OK Vihor";"CRO";6342;"Ž35";"Ž35";;;;;;;;;;;;;;;;0;"70,00";0;6;"Ž35+Ž16";"1.9";25;9;4
128;236862;"36846";"Jakšiæ";"Mirka";;"M";;0;"36:00";"52:38";"16:38";0;6587;;"OK Maksimir";"CRO";6342;"Ž35";"Ž35";;;;;;;;;;;;;;;;0;"70,00";0;6;"Ž35+Ž16";"1.9";25;9;5
179;345943;"37072";"Tusiæ";"Rozmari";;"M";;0;"42:00";"59:39";"17:39";0;6866;;"OK Lokve";"CRO";6342;"Ž35";"Ž35";;;;;;;;;;;;;;;;0;"70,00";0;6;"Ž35+Ž16";"1.9";25;9;6
219;636977;;"Cvitkoviæ";"Maja";;"Ž";;0;"38:00";"56:16";"18:16";0;6434;;"OK Vihor";"CRO";6342;"Ž35";"Ž35";;;;;;;;;;;;;;;;0;"0,00";0;6;"Ž35+Ž16";"1.9";25;9;7
136;247389;"37087";"Ebenspanger";"Emilija";;"M";;0;"28:00";"46:19";"18:19";0;6682;;"OK Kapela";"CRO";6342;"Ž35";"Ž35";;;;;;;;;;;;;;;;0;"70,00";0;6;"Ž35+Ž16";"1.9";25;9;8
102;222405;"36741";"Dobriæ";"Nives";;"M";;0;"46:00";"1:11:04";"25:04";0;6434;;"OK Vihor";"CRO";6342;"Ž35";"Ž35";;;;;;;;;;;;;;;;0;"70,00";0;6;"Ž35+Ž16";"1.9";25;9;9
153;237595;"36908";"Fabek";"Branka";;"M";;0;"48:00";;;1;6847;;"OK Japetiæ";"CRO";6342;"Ž35";"Ž35";;;;;;;;;;;;;;;;0;"70,00";0;6;"Ž35+Ž16";"1.9";25;9;
140;232290;"37073";"Sokoloviæ";"Alida";;"M";;0;"40:00";;;1;6726;;"OK Bjelovar";"CRO";6342;"Ž35";"Ž35";;;;;;;;;;;;;;;;0;"70,00";0;6;"Ž35+Ž16";"1.9";25;9;
103;222406;"36742";"Skukan";"Danko";;"M";;0;"44:00";"1:02:36";"18:36";0;6434;;"OK Vihor";"CRO";6343;"OPEN";"OPEN";;;;;;;;;;;;;;;;0;"50,00";0;3;"M12+Ž12+OPEN";"1.6";15;10;1
118;320102;"37140";"Spudiæ";"Valeria";;"M";;0;"42:00";"1:02:14";"20:14";0;6434;;"OK Vihor";"CRO";6343;"OPEN";"OPEN";;;;;;;;;;;;;;;;0;"50,00";0;3;"M12+Ž12+OPEN";"1.6";15;10;2
168;422987;"37033";"Karloviæ";"Luka";;"M";;0;"54:00";"1:19:47";"25:47";0;6863;;"OK Ivan Merz";"CRO";6343;"OPEN";"OPEN";;;;;;;;;;;;;;;;0;"50,00";0;3;"M12+Ž12+OPEN";"1.6";15;10;3
167;422985;"37032";"Holenda";"Karmen";;"M";;0;"52:00";"1:20:58";"28:58";0;6863;;"OK Ivan Merz";"CRO";6343;"OPEN";"OPEN";;;;;;;;;;;;;;;;0;"50,00";0;3;"M12+Ž12+OPEN";"1.6";15;10;4
169;422986;"37034";"Tomašiæ";"Laura";;"M";;0;"48:00";"1:19:46";"31:46";0;6863;;"OK Ivan Merz";"CRO";6343;"OPEN";"OPEN";;;;;;;;;;;;;;;;0;"50,00";0;3;"M12+Ž12+OPEN";"1.6";15;10;5
129;236879;"36847";"Strmeèki";"Vibor";;"M";;0;"46:00";"1:19:45";"33:45";0;6587;;"OK Maksimir";"CRO";6343;"OPEN";"OPEN";;;;;;;;;;;;;;;;0;"50,00";0;3;"M12+Ž12+OPEN";"1.6";15;10;6
161;410649;"36916";"Popoviæ Budi";"Daniela";;"M";;0;"50:00";"1:25:03";"35:03";0;6847;;"OK Japetiæ";"CRO";6343;"OPEN";"OPEN";;;;;;;;;;;;;;;;0;"50,00";0;3;"M12+Ž12+OPEN";"1.6";15;10;7
176;422990;"37134";"Golubiæ";"Vlado";;"M";;0;"40:00";"1:57:18";"1:17:18";3;6863;;"OK Ivan Merz";"CRO";6343;"OPEN";"OPEN";;;;;;;;;;;;;;;;0;"50,00";0;3;"M12+Ž12+OPEN";"1.6";15;10;
